Transect,Station,Tile.Type,Altitude,Emersion.Rate
1,1,S,53.59181976,0.52564364
1,1,R,53.7460165,0.543580842
1,2,R,52.34483314,0.419039212
1,2,S,52.40084457,0.422773848
1,3,S,51.63314807,0.375275879
1,3,R,51.59947008,0.373281547
1,4,S,50.64850402,0.312490984
1,4,R,50.63983976,0.311859236
1,5,S,49.97881365,0.256201432
1,5,R,50.00503379,0.258739076
1,6,S,49.57063031,0.212306348
1,6,R,49.55701458,0.21068807
1,7,R,48.94863176,0.126427505
1,7,S,48.95279992,0.127091522
2,1,R,52.88969469,0.458712538
2,1,S,53.02730393,0.470183071
2,2,S,51.70946145,0.379795973
2,2,R,51.75520539,0.382510093
2,3,S,51.12734002,0.344709419
2,3,R,51.09374776,0.342590532
2,4,R,50.60118066,0.309014864
2,4,S,50.55224979,0.305352931
2,5,S,49.9612543,0.254484352
2,5,R,49.99971259,0.258226611
2,6,R,49.70694757,0.227934171
2,6,S,49.70584005,0.227811304
2,7,R,49.10885382,0.151039194
2,7,S,49.03881478,0.140508588
3,1,S,54.09500432,0.589461296
3,1,R,54.16984606,0.60033963
3,2,S,52.8874526,0.458531276
3,2,R,52.83194613,0.454098504
3,3,R,51.79023433,0.384592883
3,3,S,51.75988519,0.382788095
3,4,S,51.16016483,0.346764444
3,4,R,51.28939784,0.354725641
3,5,S,50.68094098,0.314837959
3,5,R,50.67930942,0.314720583
3,6,S,50.17887217,0.27480015
3,6,R,50.16504419,0.273569237
3,7,S,49.65226549,0.221788652
3,7,R,49.62632215,0.218815691
3,8,S,48.72616673,0.089057593
3,8,R,48.66795135,0.078631627
4,1,S,53.71377587,0.539719007
4,1,R,53.7321403,0.541911344
4,2,R,52.79577613,0.451265051
4,2,S,52.78045607,0.450077641
4,3,S,52.03743362,0.399505808
4,3,R,51.92349374,0.392573576
4,4,S,51.1358161,0.345241495
4,4,R,51.15265679,0.346295693
4,5,S,50.61654855,0.310150624
4,5,R,50.5439231,0.304722684
4,6,R,50.23585209,0.279791489
4,6,S,50.18893135,0.275690715
4,7,R,49.59751928,0.215471063
4,7,S,49.73134667,0.230624391
4,8,R,49.13516414,0.154905685
4,8,S,49.15924489,0.158402428
5,1,R,53.27194595,0.492420279
5,1,S,53.10839415,0.477278887
5,2,R,51.84914684,0.388107986
5,2,S,51.98788702,0.396476128
5,3,S,50.86659899,0.327762602
5,3,R,50.8380833,0.32582984
5,4,S,49.90798026,0.249186518
5,4,R,49.95911676,0.254274353
5,5,R,49.97548908,0.255877425
5,5,S,50.12270045,0.269751089
5,6,S,49.69343245,0.226430321
5,6,R,49.78107262,0.236010159
5,7,S,49.25221217,0.17153181
5,7,R,49.23055506,0.168525142